accommodationId,coordinates.latitude,coordinates.longitude,details.name,details.stars,details.address.first,details.address.last,title
11813307,44.492576599121094,11.342519760131836,Art Hotel Commercianti,4,"Via de Pignattari 11, Porto - Saragozza,","40124 Bologna, BO, Italia",hotel 4*
78971564,44.48873519897461,11.332477569580078,Grand Central Room,0,"Viale Antonio Aldini 198/B, Santo Stefano,","40123 Bologna, BO, Italia",hotel
49728950,44.517940521240234,11.360074043273926,Unahotels Bologna Fiera,0,"Piazza della Costituzione 1, Navile,","40128 Bologna, BO, Italia",hotel
82248085,44.486351013183594,11.364068031311035,Villa Savioli,0,"Via Lodovico Savioli 6, Santo Stefano,","40137 Bologna, BO, Italia",hotel
11478,44.49603271484375,11.34282684326172,Grand Hotel Majestic Gia' Baglioni,5,"Via Indipendenza 8, Porto - Saragozza,","40121 Bologna, BO, Italia",hotel 5*
15475122,44.489051818847656,11.342479705810549,Hotel Touring,4,"Via de' Mattuiani 1/2, Santo Stefano,","40124 Bologna, BO, Italia",hotel 4*
1140301,44.49547576904297,11.345661163330078,Hotel Corona D'oro,4,"Via Oberdan 12, Santo Stefano,","40126 Bologna, BO, Italia",hotel 4*
82943792,44.49290084838867,11.340604782104492,Hotel Brun,4,"4/3 Piazza Galileo Galilei, Porto - Saragozza,","40123 Bologna, BO, Italia",hotel 4*
91018644,44.50276184082031,11.34259033203125,Royal Hotel Carlton,4,"Via Montebello 8,, Porto - Saragozza,","Bolonia, BO, Italia",hotel 4*
16400511,44.47365188598633,11.273838996887209,Boutique Hotel Calzavecchio,4,"Via Calzavecchio 1,","40033 Casalecchio di Reno, BO, Italia",hotel 4*
1858407,44.53377532958984,11.300742149353027,Hotel Emi,3,"45 Via Surrogazione, Borgo Panigale - Reno,","40012 Calderara di Reno, BO, Italia",hotel 3*
91019620,44.51279830932617,11.358929634094238,Unahotels Bologna Fiera,4,"Piazza Della Costituzione 1, San Donato - San Vitale,","Bolonia, BO, Italia",hotel 4*
16987047,44.48563766479492,11.225194931030272,Continental Urban Art Hotel,4,"Via Garibaldi 8,","40069 Zola Predosa, BO, Italia",hotel 4*
24767719,44.49058532714844,11.417963027954102,Nh Bologna Villanova,4,"Via Villanova 29/8, San Donato - San Vitale,","40055 Castenaso, BO, Italia",hotel 4*
15482884,44.5051383972168,11.342585563659668,Starhotels Excelsior,4,"Viale P. Pietramellara 51, Porto - Saragozza,","40121 Bologna, BO, Italia",hotel 4*
15493592,44.50526809692383,11.341944694519045,Unahotels Bologna Centro,4,"Via Pietramellara 41, Porto - Saragozza,","40121 Bologna, BO, Italia",hotel 4*
16824164,44.48794937133789,11.22830581665039,Shg Hotel Bologna,4,"Via Risorgimento 186,","40069 Zola Predosa, BO, Italia",hotel 4*
18878338,44.41896438598633,11.274715423583984,Palazzo De' Rossi Hotel,3,"14 Via Palazzo Rossi,","40037 Sasso Marconi, BO, Italia",hotel 3*
